Car_ID,Brand,Model_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine_CC,Max_Power_bhp,Mileage_kmpl,Seats,Price_USD,Vehicle_Age,Price_Per_Year,Mileage_Category,Price_Category,Power_Per_CC,Efficiency_to_Power,Usage_Intensity,Depreciation_Rate,Engine_Size_Category,Power_Rating,Fuel_Type_Category,Is_Automatic,Owner_History_Numeric,Price_Per_Seat
1,Audi,2005,197018,Diesel,Manual,First,4046,223.6,29.61,6,119611.94,20,5695.806666666666,Very High,Luxury,55.26445872466633,0.13236477425122933,9381.809523809523,0.03738725927144672,Large,Medium,Traditional,0,0,17087.420000000002
2,BMW,2019,43467,Hybrid,Automatic,First,3731,248.4,21.66,5,90842.46,6,12977.494285714287,Low,Premium,66.57732511391049,0.08716297786720321,6209.571428571428,0.016406244324027288,Large,Medium,Eco-Friendly,1,0,15140.410000000002
3,Kia,2012,153697,Hybrid,Automatic,Third,4925,465.5,12.14,6,78432.24,13,5602.302857142858,Very High,Premium,94.51776649746193,0.02607388316151203,10978.357142857143,0.07715478794449904,Large,Very High,Eco-Friendly,1,2,11204.605714285715
4,Mercedes,2015,38893,Petrol,Automatic,Second,3771,229.7,19.65,6,44568.89,10,4051.7172727272728,Low,Mid-range,60.91222487403871,0.08550913838120104,3535.7272727272725,0.05153703542907555,Large,Medium,Traditional,1,1,6366.984285714286
5,Audi,2016,81329,Hybrid,Automatic,First,2817,573.2,7.74,5,8751.82,9,875.182,Medium,Budget,203.47887823926163,0.013500784929356358,8132.9,0.5893871917850476,Medium,Very High,Eco-Friendly,1,0,1458.6366666666665
6,Volkswagen,2016,36007,Petrol,Automatic,Third,3215,453.2,29.15,7,6633.65,9,663.365,Low,Budget,140.9642301710731,0.0643061989852195,3600.7,0.6147724446655061,Medium,High,Traditional,1,2,829.20625
7,Ford,2008,175604,Electric,Manual,First,3896,374.6,9.37,6,67839.21,17,3768.8450000000003,Very High,Mid-range,96.1498973305955,0.025006672004270078,9755.777777777777,0.09387058206335151,Large,High,Eco-Friendly,0,0,9691.315714285714
8,Audi,2020,59253,Electric,Manual,First,2409,533.3,21.2,6,92157.83,5,15359.638333333334,Medium,Premium,221.37816521378164,0.03974503187101612,9875.5,0.028933744059033734,Medium,Very High,Eco-Friendly,0,0,13165.404285714287
9,Kia,2008,17323,Hybrid,Manual,Second,1517,67.8,11.14,6,65873.37,17,3659.631666666666,Low,Mid-range,44.69347396176664,0.16406480117820327,962.3888888888889,0.017496941526727313,Small,Low,Eco-Friendly,0,1,9410.481428571427
10,Mercedes,2009,116335,Hybrid,Manual,First,4361,184.0,22.94,6,101371.85,16,5963.05,High,Premium,42.1921577619812,0.12460619228680066,6843.235294117647,0.029041306424747847,Large,Low,Eco-Friendly,0,0,14481.692857142858
11,BMW,2009,117356,Diesel,Automatic,Third,1816,300.4,24.42,5,6910.9,16,406.5235294117647,High,Budget,165.41850220264314,0.08126455906821964,6903.294117647059,0.6953804308511408,Small,Medium,Traditional,1,2,1151.8166666666666
12,Kia,2012,115944,Hybrid,Automatic,Third,4365,167.1,21.84,7,45909.99,13,3279.285,High,Mid-range,38.281786941580755,0.130622009569378,8281.714285714286,0.04731546847497734,Large,Low,Eco-Friendly,1,2,5738.74875
13,Kia,2014,150282,Diesel,Automatic,Second,2760,456.6,20.36,7,30737.24,11,2561.436666666667,High,Budget,165.43478260869568,0.04458068754105539,12523.5,0.16339907554889285,Medium,Very High,Traditional,1,1,3842.155
14,Ford,2021,21456,Electric,Manual,First,1848,554.8,27.31,2,55330.94,4,11066.188,Low,Mid-range,300.2164502164502,0.04921607496846279,4291.2,0.04010703402049521,Small,Very High,Eco-Friendly,0,0,18443.646666666667
15,Hyundai,2013,36367,Electric,Automatic,Third,2157,277.3,6.97,6,11468.04,12,882.1569230769231,Low,Budget,128.5581826611034,0.025126171593366976,2797.4615384615386,0.2901376226780969,Medium,Medium,Eco-Friendly,1,2,1638.2914285714287
16,Mercedes,2023,59624,Petrol,Manual,First,4226,231.6,13.27,6,114633.4,2,38211.13333333333,Medium,Luxury,54.80359678182678,0.05727233491583945,19874.666666666668,0.004040671910002582,Large,Medium,Traditional,0,0,16376.199999999999
17,Honda,2018,146178,Electric,Automatic,First,915,578.5,11.21,2,29120.88,7,3640.11,High,Budget,632.24043715847,0.01937435188385759,18272.25,0.13905352264345572,Small,Very High,Eco-Friendly,1,0,9706.960000000001
18,Kia,2012,73008,Diesel,Automatic,First,2895,289.1,29.7,7,110910.01,13,7922.143571428571,Medium,Luxury,99.86183074265976,0.10269709543568463,5214.857142857143,0.03388572514126416,Medium,Medium,Traditional,1,0,13863.75125
19,Hyundai,2013,130926,Hybrid,Manual,Second,2601,313.9,14.73,4,52829.5,12,4063.8076923076924,High,Mid-range,120.68435217224143,0.046910828025477705,10071.23076923077,0.07129972269806267,Medium,Medium,Eco-Friendly,0,1,10565.9
20,Honda,2015,120395,Petrol,Manual,First,2946,236.9,23.32,4,118306.32,10,10755.12,High,Luxury,80.41412084181941,0.09839662447257384,10945.0,0.020024120231951836,Medium,Medium,Traditional,0,0,23661.264000000003
