Car_ID,Model_Year,Kilometers_Driven,Engine_CC,Max_Power_bhp,Mileage_kmpl,Seats,Price_USD,Vehicle_Age,Price_Per_Year,Power_Per_CC,Efficiency_to_Power,Usage_Intensity,Depreciation_Rate,Is_Automatic,Owner_History_Numeric,Price_Per_Seat,Brand_Audi,Brand_BMW,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Kia,Brand_Mercedes,Brand_Nissan,Brand_Toyota,Brand_Volkswagen,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Second,Owner_Type_Third,Mileage_Category_High,Mileage_Category_Low,Mileage_Category_Medium,Mileage_Category_Very High,Price_Category_Budget,Price_Category_Luxury,Price_Category_Mid-range,Price_Category_Premium,Engine_Size_Category_Large,Engine_Size_Category_Medium,Engine_Size_Category_Small,Power_Rating_High,Power_Rating_Low,Power_Rating_Medium,Power_Rating_Very High,Fuel_Type_Category_Eco-Friendly,Fuel_Type_Category_Traditional
1,2005,197018,4046,223.6,29.61,6,119611.94,20,5695.806666666666,55.26445872466633,0.13236477425122933,9381.809523809523,0.03738725927144672,0,0,17087.420000000002,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True
2,2019,43467,3731,248.4,21.66,5,90842.46,6,12977.494285714287,66.57732511391049,0.08716297786720321,6209.571428571428,0.016406244324027288,1,0,15140.410000000002,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
3,2012,153697,4925,465.5,12.14,6,78432.24,13,5602.302857142858,94.51776649746193,0.02607388316151203,10978.357142857143,0.07715478794449904,1,2,11204.605714285715,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
4,2015,38893,3771,229.7,19.65,6,44568.89,10,4051.7172727272728,60.91222487403871,0.08550913838120104,3535.7272727272725,0.05153703542907555,1,1,6366.984285714286,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
5,2016,81329,2817,573.2,7.74,5,8751.82,9,875.182,203.47887823926163,0.013500784929356358,8132.9,0.5893871917850476,1,0,1458.6366666666665,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False
6,2016,36007,3215,453.2,29.15,7,6633.65,9,663.365,140.9642301710731,0.0643061989852195,3600.7,0.6147724446655061,1,2,829.20625,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True
7,2008,175604,3896,374.6,9.37,6,67839.21,17,3768.8450000000003,96.1498973305955,0.025006672004270078,9755.777777777777,0.09387058206335151,0,0,9691.315714285714,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
8,2020,59253,2409,533.3,21.2,6,92157.83,5,15359.638333333334,221.37816521378164,0.03974503187101612,9875.5,0.028933744059033734,0,0,13165.404285714287,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False
9,2008,17323,1517,67.8,11.14,6,65873.37,17,3659.631666666666,44.69347396176664,0.16406480117820327,962.3888888888889,0.017496941526727313,0,1,9410.481428571427,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
10,2009,116335,4361,184.0,22.94,6,101371.85,16,5963.05,42.1921577619812,0.12460619228680066,6843.235294117647,0.029041306424747847,0,0,14481.692857142858,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False
